NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Baringo,11034,7396,9867.1,11588.1,20701.56,24647.02,639972000,451156000,641361500,684624750,1360039060,0
2,Bomet,50141,41217,41156.88,43419.8,44137.2,41923,4011280000,2390586000,2140157760,2152220000,2787570400,0
3,Bungoma,61051,53766,84271.95,83945,58834,51186.21,2442040000,2688300000,5056317000,4371955000,3846345000,0
4,Busia,36422,13952,16610.5,13646,22189,24034.25,2148898000,823168000,1013240500,558080000,1488520950,0
5,Elgeyo Marakwet,16355,15271,12839.9,10284.85,8131.9,8856,1144850000,1099512000,808913700,614492900,513968443,0
6,Embu,27288,8852,13052.25,11719.51,13887.78,14142.5,1473552000,531120000,796187250,541530900,886674600,0
7,Garissa,40,13,0,0,0,0,2800000,923000,0,0,0,0
8,Homabay,55868,29113,23457.3,28945.44,30772.95,32849.93,3966628000,2096136000,1853126700,2085604100,2510974500,0
9,Isiolo,165,112,0,44.3,81.9,7,8250000,5824000,0,2472500,4738500,0
10,Kajiado,30417,20281,19944.2,805,32965.55,43845.7,1809811500,1338546000,1316317200,40110000,1657827500,0
11,Kakamega,30170,57307,41441.4,42693.04,36133.96,27031.25,1448160000,4527253000,2527925400,2696055380,2303856400,0
12,Kericho,21116,12798,15759,14544.9,15476.76,11811.87,1224728000,755082000,898263000,753017400,1031784000,0
13,Kiambu,22994,18496,21635.61,10826.9,20246.25,27700.05,1563592000,943296000,1882298070,648095400,1213785250,0
14,Kilifi,75,20,59.25,20.9,32.2,18,4875000,1400000,4266000,2321000,1955000,0
15,Kirinyaga,20107,12521,7747.09,7102.71,7451.1,8994.25,1226527000,713697000,457078015,344076550,199926133,0
16,Kisii,46032,42235,45713.6,36213.3,25024.45,28089.92,2623824000,2956450000,2925670400,1827656300,1780676800,0
17,Kisumu,6079,16466,24111.9,22170,20469.7,14748.1,340424000,1218484000,2001287700,1475630000,1655270000,0
18,Kitui,20222,3069,7355.15,10705,34712.49,16044.48,1213320000,227106000,485439900,570715000,2328899400,0
19,Kwale,267,116,169.6,70.54,101.33,116.21,869546000,6496000,10854400,3827400,6453800,0
20,Laikipia,19255,14206,12198.75,13326,12122.45,13331,885730000,752918000,548943750,711788000,717347000,0
22,Machakos,44731,16499,32938.28,55027,31215.13,32341.38,3086439000,973441000,2173926150,3279690000,2062319375,0
23,Makueni,16448,10120,20327.8,29643.1,28574.7,31218.2,986880000,506000000,1239995800,1410882000,1934832000,0
25,Marsabit,159,141,0,274,161,172.5,12720000,11280000,0,16440000,15040000,0
26,Meru,69550,59127,38894.3,52034.86,37331.38,43592.5,3199300000,3015477000,1750243500,2485465400,2152189600,0
27,Migori,14341,16827.4,27468.59,26973,25075.52,27609.45,1147280000,1262055000,2142550020,1506156000,2141434561,0
29,Murang'a,23720,21771,18900.5,14279.17,17208.61,17417.4,1399480000,1306260000,1266333768,851112920,981753930.8,0
30,Nairobi  ,484,402,275.09,228.53,291.3,330.77,36300000,31758000,22832055,16882600,21359405,0
31,Nakuru,40862,29465,22542.56,22447,37901.9,38884.2,1757066000,2003620000,1284925920,950165000,1829385350,0
32,Nandi,37996,33829,27380.95,26318.06,24019.55,18294.9,1899800000,1522305000,1670237950,1812972000,1845238776,0
33,Narok,39168,37711,59684,33544.85,35987.55,28788.7,2036736000,1923261000,3879460000,1624759000,2554697000,0
34,Nyamira,55790,27423,36031.8,29305.2,23990,26574,3458980000,1645380000,2197939800,1785891000,1479162000,0
35,Nyandarua,2758,2395,0,2372.8,4325.75,7188,132384000,138910000,0,139938000,238785000,0
36,Nyeri,14122,6181,9467.05,11677.8,9275,11213.5,677856000,296688000,662693500,648596900,557698000,0
37,Samburu,2167,6508,1962.8,182,750.44,841.5,145189000,436036000,157024000,10920000,58118720,0
38,Siaya,34846,22541,22939.31,19009.84,17820.2,17285.71,1846838000,1510247000,1720448250,1335743000,1508382500,0
39,Taita Taveta,966,1006,1042.85,1496.75,1433.28,2224.49,56028000,62875000,77170900,81356250,80233800,0
40,Tana River,21,24,13.86,0,46.8,3.24,1050000,1080000,831600,0,1200000,0
41,Tharaka Nthi,11445,10192,10787.94,10731.35,7122.53,16620.65,686700000,693056000,744367860,530491500,389684700,0
42,Trans Nzoia,22056,17012,20907.3,40067.3,26116.2,25061,1191024000,918648000,1087179600,2065239200,1437572331,0
44,Uasin Gishu,9316,9543,8941.04,9050.65,8422.5,15023.35,503064000,553494000,652695920,496408750,636422500,0
45,Vihiga,9630,14530,9278.5,8733,18244,16657.2,674100000,1089750000,668052000,541945000,1033550000,0
46,Wajir,27,0,0,0,0,2,1620000,0,0,0,0,0
47,West Pokot,7755,12307,11160,10509.7,11391.4,7644.3,465300000,873797000,803520000,590848000,696771111,0
