NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Baringo,89311,77735.39,120197.43,65216.21,135510.4,0,0,0,0,0,0,0
2,Bomet,8413,13509.33,27974.76,4258.07,27579.36,0,0,0,0,0,0,0
3,Bungoma,1247335,1286671.05,1763331.09,2317019.59,2179570.23,0,0,0,0,0,0,0
4,Busia,0,4590,0,0,0,0,0,0,0,0,0,0
5,Elgeyo Marakwet,21759,20837,54792,45746,58893,0,0,0,0,0,0,0
6,Embu,2003363,2071095.92,2057774.13,2347282.42,2246568.07,0,0,0,0,0,0,0
8,Homabay,31453,32026.9,60341,37815,63299,0,0,0,0,0,0,0
10,Kajiado,0,0,0,0,1645,0,0,0,0,0,0,0
11,Kakamega,26813,15042.81,26840.87,25587.26,29018,0,0,0,0,0,0,0
12,Kericho,1829221,1444850.71,2730804.52,2199905.61,3857672.11,0,0,0,0,0,0,0
13,Kiambu,11345200,12769604.22,10910799.79,7527770.92,9755343.58,0,0,0,0,0,0,0
15,Kirinyaga,4638062,6180407.29,5405350.05,6195787.24,6442942.51,0,0,0,0,0,0,0
16,Kisii,1091783,1412009.97,1099743.18,2433899.92,1420346.11,0,0,0,0,0,0,0
17,Kisumu,3318,2614.61,12632,26320,69830.1,0,0,0,0,0,0,0
20,Laikipia,8928,7324,14097.44,6916.59,4809.5,0,0,0,0,0,0,0
22,Machakos,2329268,1950724.48,1600370.61,1387875.89,2553554.9,0,0,0,0,0,0,0
23,Makueni,174286,67365.85,102476.88,88977.29,108894.12,0,0,0,0,0,0,0
26,Meru,3974854,1727242.59,1646899.51,1727051.6,1593002.06,0,0,0,0,0,0,0
27,Migori,40440,75107.29,70333.42,105439.59,153969.61,0,0,0,0,0,0,0
29,Murang'a,3507689,5817404.69,2450113.5,5538471.62,4040100.98,0,0,0,0,0,0,0
30,Nairobi,0,0,83990.59,99172,132718,0,0,0,0,0,0,0
31,Nakuru,626181,797759.96,779697.24,353054.59,943544.25,0,0,0,0,0,0,0
32,Nandi,418676,383010.09,584620.82,688740.66,848893.46,0,0,0,0,0,0,0
33,Narok,0,0,0,47.48,2160.76,0,0,0,0,0,0,0
34,Nyamira,886808,1016590.69,916394.6,1583417.97,774082.82,0,0,0,0,0,0,0
36,Nyeri,5656458,7524940.62,4088390.92,5030604.12,5317897.24,0,0,0,0,0,0,0
39,Taita Taveta,1770,1800.45,878.36,0,0,0,0,0,0,0,0,0
41,Tharaka Nthi,1385575,861541.29,945170.01,834894.07,1386233.85,0,0,0,0,0,0,0
42,Trans Nzoia,641898,401707.41,998433.33,658307.61,749578.82,0,0,0,0,0,0,0
44,Uasin Gishu,17950,47199,28010.64,18585.49,55342.49,0,0,0,0,0,0,0
45,Vihiga,0,0,349,1373,560,0,0,0,0,0,0,0
47,West Pokot,30928,17295,39286.27,25472,30469,0,0,0,0,0,0,0
