NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Baringo,580,467,776,335,494,980,0,0,67200000,29279700,44060800,0
3,Bungoma,590,406,281,178,243,339,0,0,22398340,10252000,19171750,0
4,Busia,348,233,300,255,146,97,0,0,26230200,11370000,9777992,0
5,Elgeyo Marakwet,622,632,346,280,287,320,0,0,34550000,16983900,27611000,0
6,Embu,6954,33289,6442,7491,5622,7552,0,0,406410300,335333330,427065600,0
7,Garissa,102,57,61,27,61,27,0,0,3420000,1266500,3420000,0
8,Homabay,236,236,317,554,426,518,0,0,28729200,46866550,44020000,0
9,Isiolo,77,18,0,18,215,9,0,0,0,1019140,24870500,0
10,Kajiado,9,8,5,3,67,28,0,0,411500,1080000,5728900,0
11,Kakamega,6,9,5,3,1,2,0,0,495000,166800,116000,0
13,Kiambu,24,50,66,0,17,16,0,0,4156200,0,2489600,0
14,Kilifi,2939,2426,1810,1363,2890,2581,0,0,173150800,102777536,247321750,0
15,Kirinyaga,204,101,107,53,110,53,0,0,9249750,2275750,9461422,0
17,Kisumu,1030,1812,1937,4035,2274,2497,0,0,192787600,308980000,225980600,0
18,Kitui,32395,18751,32782,91072,86323,87448,0,0,2123960200,4119029000,3398980250,0
19,Kwale,4117,832,4362,4114,1737,2396,0,0,297569000,201296749,98045800,0
21,Lamu,1773,1286,7180,7068,9760,10410,0,0,575208800,494760000,392800000,0
22,Machakos,4794,3697,9753,9887,8771,10522,0,0,593495700,499518950,526733400,0
23,Makueni,33667,36056,59862,52633,50009,58625,0,0,3746270000,2224223750,2776859500,0
24,Mandera,20,18,41,61,41,71,0,0,3000000,4535000,3000000,0
25,Marsabit,14,11,0,19,16,17,0,0,0,1520000,1500000,0
26,Meru,4070,3523,1195,8992,2191,6054,0,0,76551500,438619750,157832500,0
27,Migori,12,155,1908,1052,893,199,0,0,147511560,81838400,90200000,0
28,Mombasa,22,3,0,18,24,33,0,0,18000,988400,1458000,0
29,Murang'a,151,153,428,77,64,92,0,0,27509166,6736500,5821000,0
30,Nairobi  ,2,3,0,1,4,11,0,0,36700,81600,383000,0
37,Samburu,24,9,302,7,3,0,0,0,17800000,348500,270000,0
38,Siaya,249,324,696,152,429,360,0,0,60414000,12633440,26313000,0
39,Taita Taveta,1403,989,1547,1637,2803,3462,0,0,106958273,92747400,117057340,0
40,Tana River,139,636,694,1026,1368,2977,0,0,46470000,51300000,68980000,0
41,Tharaka Nthi,8143,8143,14358,14055,8375,14296,0,0,1209114000,632463750,632463750,0
43,Turkana,0,0,1180,170,151,4,0,0,99425000,11982000,13571650,0
44,Uasin Gishu,0,0,29,0,0,0,0,0,2319800,0,0,0
45,Vihiga,2,3,3,0,0,0,0,0,250000,0,0,0
46,Wajir,13,5,0,26,0,0,0,0,0,1027000,0,0
47,West Pokot,138,799,113,28,108,57,0,0,9223200,4792500,7740000,0
