COUNTY,Area,Contacts
Baringo,11075.3,Contact_Info
Bomet,1997.9,Contact_Info
Bungoma,2206.9,Contact_Info
Busia,1628.4,Contact_Info
Elgeyo Marakwet,3049.7,Contact_Info
Embu,2555.9,Contact_Info
Garissa,45720.2,Contact_Info
Homabay,3154.7,Contact_Info
Isiolo,25336.1,Contact_Info
Kajiado,21292.7,Contact_Info
Kakamega,3033.8,Contact_Info
Kericho,2454.5,Contact_Info
Kiambu,2449.2,Contact_Info
Kilifi,12245.9,Contact_Info
Kirinyaga,1205.4,Contact_Info
Kisii,1317.9,Contact_Info
Kisumu,2009.5,Contact_Info
Kitui,24385.1,Contact_Info
Kwale,8270.3,Contact_Info
Laikipia,8696.1,Contact_Info
Lamu,6497.7,Contact_Info
Machakos,5952.9,Contact_Info
Makueni,8008.9,Contact_Info
Mandera,25797.7,Contact_Info
Marsabit,66923.1,Contact_Info
Meru,7003.1,Contact_Info
Migori,2568.4,Contact_Info
Mombasa,212.5,Contact_Info
Murang'a,2325.8,Contact_Info
Nairobi ,694.9,Contact_Info
Nakuru,7509.5,Contact_Info
Nandi,2884.5,Contact_Info
Narok,17921.2,Contact_Info
Nyamira,912.5,Contact_Info
Nyandarua,3107.7,Contact_Info
Nyeri,2361,Contact_Info
Samburu,20182.5,Contact_Info
Siaya,2496.1,Contact_Info
Taita Taveta,17083.9,Contact_Info
Tana River,35375.8,Contact_Info
Tharaka Nthi,2609.5,Contact_Info
Trans Nzoia,2469.9,Contact_Info
Turkana,71597.8,Contact_Info
Uasin Gishu,2955.3,Contact_Info
Vihiga,531.3,Contact_Info
Wajir,55840.6,Contact_Info
West Pokot,8418.2,Contact_Info
