NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Baringo,843,563,1.53,47.2,0,0,53109000,38284000,51435,2700000,0,0
2,Bungoma,211,265,280.08,343,0,298.5,13082000,18285000,3738000,22145000,0,0
3,Busia,5715,5357,7031,5081.2,0,4679.9,182880000,187495000,155359000,348343000,0,0
4,Elgeyo Marakwet,96,63,0.25,0,0,0,9312000,4032000,20160,0,0,0
5,Garissa,161,175,111.58,0,0,29,15778000,7350000,986400,0,0,0
6,Homabay,410,321,5544.56,767.4,0,1976,46740000,36594000,51462000,54900000,0,0
7,Kakamega,362,331,101.99,52.99,0,140.84,18462000,27804000,7150400,3373640,0,0
8,Kilifi,698,150,536.63,164.16,0,71.81,43974000,6000000,2212110,6908400,0,0
9,Kirinyaga,49912,44914,54021.44,65109.3,0,78188,3543752000,2784668000,3977620800,5175744000,0,0
10,Kisumu,13655,11155,23263,34655,0,32781,887575000,892400000,155418840,1230474219,0,0
11,Kwale,980,666,780.69,428.64,0,1350,37240000,26640000,3843315,16720485,0,0
12,Lamu,640,600,4.32,0,0,5,51200000,59400000,302400,0,0,0
13,Meru,422,284,18.51,20.5,0,0,25742000,15904000,1295910,1212150,0,0
14,Migori,486,100.91,1518.5,904.2,0,731,19440000,5852756.8,3986127,44587000,0,0
15,Murang'a,739,593,144.15,134,0,717,58381000,46847000,1871360,5360000,0,0
16,Siaya,451,272,6622,1357.1,0,3144,17138000,12240000,14990253.33,106973000,0,0
17,Taita Taveta,1107,660,534,802.8,0,3834,97416000,66000000,1500150,28098000,0,0
18,Tana River,29434,30447,1349.2,446,0,1624,1471700000,1522350000,3633930,26760000,0,0
19,Tharaka Nthi,1320,1040,2.29,11.58,0,37.5,92400000,93600000,119160,686625,0,0
20,Trans Nzoia,0,0,0,0,0,405,0,0,0,0,0,0
