NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Baringo,924,2821,1082.09,1332.55,1208.95,0,0,0,48941080,54493680,44742500,0
2,Bomet,1439,3170,3157,3637.8,2959.4,0,0,0,133078000,148477712,122068000,0
3,Bungoma,2046,321,1285.9,778.3,799.5,0,0,0,42268100,28159000,30707500,0
4,Busia,13427,17377,12175,13465.6,16995.5,0,0,0,378686000,419913000,345504838,0
5,Elgeyo Marakwet,946,1027,1074,1273,931.5,0,0,0,34620000,52168444,44417778,0
6,Embu,8416.26,8271,3248.55,5722.2,8375.2,0,0,0,97391500,187196500,397581000,0
7,Garissa,32,20,31.4,21,34.4,0,0,0,992500,512000,992500,0
8,Homabay,37440.26,18256,21904.1,27892.99,28524.75,0,0,0,670127600,745557988,817818750,0
9,Isiolo,62,39,0.4,4.55,6.62,0,0,0,18000,155900,284800,0
10,Kajiado,93,63,32.82,104,8.6,0,0,0,1239600,3838500,501000,0
11,Kakamega,2504,563,389.24,480.84,618.3,0,0,0,12289662,15413863.4,17206533,0
12,Kericho,1638,877,1549.8,1425.6,1215,0,0,0,48043800,44352000,37800000,0
13,Kiambu,110,49,7.06,7.06,58.5,0,0,0,246000,246000,2512500,0
14,Kilifi,64,30,648.48,83.04,48.77,0,0,0,28917400,2747840,1085800,0
15,Kirinyaga,303.5,65,54.28,39.37,59.12,0,0,0,1678460,1527950,2269360,0
16,Kisii,222,162,93.73,215.68,151.89,0,0,0,4401040,7191436,5991532.6,0
17,Kisumu,38437.9,4328.96,16352,34711,22988,0,0,0,429929414,867773500,689640000,0
18,Kitui,49862,14060,20325.9,38271,141998.08,0,0,0,548397000,1133147000,3636460500,0
19,Kwale,131,109,596.85,780.16,2514,0,0,0,10129700,35585912.5,93411000,0
20,Laikipia,1039,1060,108,523,558.6,0,0,0,2160000,25500000,29980000,0
21,Lamu,311,5,150,50,777,0,0,0,675000,2500000,62784000,0
22,Machakos,7903,6287,5695.76,6012.07,3584.15,0,0,0,146888880,121597600,105133200,0
23,Makueni,6094,4255,2677.88,3256.93,11380.03,0,0,0,80646000,101731250,387785250,0
24,Mandera,265.38,267,499,624,499,0,0,0,15000000,18955000,15000000,0
25,Marsabit,43,1,0,0,16,0,0,0,0,0,640000,0
26,Meru,11045.78,9664,10936.71,17022.65,9970.39,0,0,0,328838190,534590400,281859580,0
27,Migori,9127,1330.6,9324,15456,10080.35,0,0,0,238729378,472722650,299742900,0
28,Mombasa,1.44,0,0.7,1.08,1.08,0,0,0,35000,43200,43200,0
29,Murang'a,155,242,143.64,102.85,116.67,0,0,0,4358799.84,3814577,4807189.1,0
30,Nairobi ,17,3,1.55,4.23,6.2,0,0,0,82771.5,180862,679543,0
31,Nakuru,732,922,1305,650,1898.63,0,0,0,40427271,15941321,62319020,0
32,Nandi,321,193,333.7,353.35,339.75,0,0,0,14855306,15649221.79,16039100,0
33,Narok,1003,1487,1833.34,1931.72,1430.53,0,0,0,84747459.05,89217588.37,57086716,0
34,Nyamira,79,61,2312.26,122,59,0,0,0,69765000,12686100,2427000,0
35,Nyandarua,28,22,4.2,1.62,0,0,0,0,195000,455000,0,0
38,Siaya,17941.6,12448,16335.6,17256.45,16288.1,0,0,0,474806500,517701000,548428500,0
39,Taita Taveta,257.9,140,131.36,674.66,3972.26,0,0,0,4572600,21603800,123433990,0
40,Tana River,137.7,52,488.4,20,0,0,0,0,15927000,580000,0,0
41,Tharaka Nthi,20536,12906,9522,7917,12240.8,0,0,0,235205000,259959000,572679000,0
42,Trans Nzoia,325,275,340.5,281.24,709,0,0,0,12734340,9165200,26702000,0
43,Turkana,2305,2251,1395.95,2052.95,6300.77,0,0,0,53227000,97932750,222997600,0
44,Uasin Gishu,92,114,123.85,69.2,159,0,0,0,4541500,2783300,7008000,0
45,Vihiga,407,235,132,128,284.8,0,0,0,5876000,6103524,13771000,0
46,Wajir,0,0,1172,1130,497,0,0,0,58600000,78755000,24850000,0
47,West Pokot,391,373,491.1,347.6,3125.1,0,0,0,13743000,14370000,124968333.3,0
