NO,COUNTY,QNT2015,QNT2016,QNT2017,QNT2018,QNT2019,QNT2020,VL2015,VL2016,VL2017,VL2018,VL2019,VL2020
1,Baringo,0.00,0.00,33.00,360.00,0.00,7.80,0.00,0.00,1098900.00,1200000.00,0.00,0.00
2,Bungoma,90.00,90.00,687.50,804.00,0.00,415.50,0.00,0.00,27500000.00,36020000.00,0.00,0.00
3,Elgeyo Marakwet,837.00,849.00,470.00,1118.00,0.00,496.00,0.00,0.00,13341000.00,33555000.00,0.00,0.00
4,Kakamega,0.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,2880000.00,0.00,0.00,0.00
5,Kisii,0.00,0.00,12.40,9.00,0.00,0.00,0.00,0.00,496000.00,900000.00,0.00,0.00
6,Laikipia,11442.00,31834.00,28043.00,34465.00,0.00,23264.60,0.00,0.00,855340000.00,448077666.00,0.00,0.00
7,Marsabit,56.00,12.00,0.00,16.00,0.00,9.00,0.00,0.00,0.00,1280000.00,0.00,0.00
8,Meru,49475.00,30625.00,10675.00,30307.50,0.00,32875.00,0.00,0.00,266875000.00,818302500.00,0.00,0.00
9,Murang'a,0.00,0.00,540.00,0.00,0.00,0.00,0.00,0.00,18000000.00,0.00,0.00,0.00
10,Nakuru,120603.00,135038.20,91935.15,77760.00,0.00,98589.35,0.00,0.00,2730363564.00,2206176550.00,0.00,0.00
11,Narok,204213.00,132173.00,176245.00,201677.45,0.00,160286.75,0.00,0.00,5779949467.00,5221555472.43,0.00,0.00
12,Nyamira,1054.00,1507.00,1493.81,86.07,0.00,97.40,0.00,0.00,59418650.00,3750224.00,0.00,0.00
13,Nyandarua,7583.00,9045.00,0.00,5771.40,0.00,33946.50,0.00,0.00,0.00,725952200.00,0.00,0.00
14,Nyeri,5832.00,7206.00,14092.38,7649.70,0.00,4775.76,0.00,0.00,563695200.00,164013750.00,0.00,0.00
15,Samburu,378.00,820.00,1620.00,1800.00,0.00,4050.00,0.00,0.00,45000000.00,54000000.00,0.00,0.00
16,Trans Nzoia,654.00,1029.00,4672.50,3694.50,0.00,3456.00,0.00,0.00,159149000.00,105264000.00,0.00,0.00
17,Uasin Gishu,37672.00,44907.00,35049.00,45121.28,0.00,42369.46,0.00,0.00,1152771000.00,1397320400.00,0.00,0.00
